Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,TotalTime,WC,NC,BibColor,Behind,PursuitStartDistance,ResultOrder_shooting,TotalTime_shooting,Behind_shooting,ResultOrder_range,TotalTime_range,Behind_range,ResultOrder_ski,TotalTime_ski,Behind_ski,RaceId,EventId,EventName,RaceName,RaceDate,Season,Genre
1,,BTGER22208199301,DAHLMEIER Laura,GER,0+0+1+1,2,46:14.0,60,160,,0.0,0,68.0,2:53.5,+1:09.2,60,4:32.9,+1:02.8,1,39:41.0,0.0,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,Women 15km Individual,2016-11-30,1617,Female
2,,BTFRA21505198701,BESCOND Anais,FRA,0+0+0+1,1,46:29.8,54,154,,+15.8,0,60.0,2:45.8,+1:01.5,48,4:21.2,+51.1,13,41:08.4,+1:27.4,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,Women 15km Individual,2016-11-30,1617,Female
3,,BTBLR20603198801,YURKEVICH Darya,BLR,0+0+0+0,0,47:31.3,48,148,,+1:17.3,0,29.0,2:23.0,+38.7,22,4:04.1,+34.0,68,43:27.1,+3:46.1,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,Women 15km Individual,2016-11-30,1617,Female
4,,BTGER21103199401,PREUSS Franziska,GER,0+2+0+1,3,47:51.9,43,143,,+1:37.9,0,26.0,2:20.9,+36.6,18,4:00.6,+30.5,9,40:51.0,+1:10.0,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,Women 15km Individual,2016-11-30,1617,Female
5,,BTFRA20407199601,BRAISAZ-BOUCHET Justine,FRA,2+0+0+2,4,48:06.4,40,140,,+1:52.4,0,10.0,2:04.0,+19.7,32,4:11.0,+40.9,5,39:55.2,+14.2,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,Women 15km Individual,2016-11-30,1617,Female
6,,BTAUT21612199301,HAUSER Lisa Theresa,AUT,1+2+0+0,3,49:18.9,38,138,,+3:04.9,0,25.0,2:19.8,+35.5,24,4:05.6,+35.5,37,42:13.1,+2:32.1,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,Women 15km Individual,2016-11-30,1617,Female
7,,BTSWE20211199501,OEBERG Hanna,SWE,0+1+2+1,4,49:28.6,36,136,,+3:14.6,0,2.0,1:51.8,+7.5,1,3:30.1,0.0,28,41:58.3,+2:17.3,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,Women 15km Individual,2016-11-30,1617,Female
8,,BTCZE20912198801,VITKOVA Veronika,CZE,3+1+0+1,5,49:37.3,34,134,,+3:23.3,0,13.0,2:09.8,+25.5,10,3:50.8,+20.7,8,40:46.2,+1:05.2,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,Women 15km Individual,2016-11-30,1617,Female
9,,BTGER22403199201,HINZ Vanessa,GER,0+0+0+3,3,49:46.0,32,132,,+3:32.0,0,35.0,2:25.4,+41.1,34,4:12.1,+42.0,46,42:33.6,+2:52.6,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,Women 15km Individual,2016-11-30,1617,Female
10,,BTUKR21011199401,ZHURAVOK Yuliia,UKR,0+1+0+1,2,49:47.7,31,131,,+3:33.7,0,23.0,2:19.1,+34.8,13,3:57.0,+26.9,77,43:50.5,+4:09.5,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,Women 15km Individual,2016-11-30,1617,Female
