Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,TotalTime,WC,NC,BibColor,Behind,PursuitStartDistance,ResultOrder_shooting,TotalTime_shooting,Behind_shooting,ResultOrder_range,TotalTime_range,Behind_range,ResultOrder_ski,TotalTime_ski,Behind_ski,RaceId,EventId,EventName,RaceName,RaceDate,Season,Genre
1,,BTCZE20301199701,DAVIDOVA Marketa,CZE,0+0+0+0,0,42:43.5,60,160,,0.0,0,73.0,2:10.7,+35.6,59.0,3:40.0,+35.4,10.0,39:03.5,+1:22.6,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,Women 15km Individual,2021-11-27,2122,Female
2,,BTAUT21612199301,HAUSER Lisa Theresa,AUT,0+0+0+1,1,44:01.2,54,154,r,+1:17.7,0,2.0,1:35.3,+0.2,2.0,3:08.2,+3.6,23.0,39:53.0,+2:12.1,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,Women 15km Individual,2021-11-27,2122,Female
3,,BTGER22010198801,HERRMANN-WICK Denise,GER,0+1+0+0,1,44:06.5,48,148,,+1:23.0,0,91.0,2:23.5,+48.4,81.0,3:49.6,+45.0,12.0,39:16.9,+1:36.0,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,Women 15km Individual,2021-11-27,2122,Female
4,,BTBLR20501199601,SMOLSKAYA Dzinara,BLR,1+1+0+0,2,44:29.5,43,143,b,+1:46.0,0,45.0,2:00.5,+25.4,44.0,3:34.0,+29.4,7.0,38:55.5,+1:14.6,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,Women 15km Individual,2021-11-27,2122,Female
5,,BTRUS20803199401,NIGMATULLINA Uliana,RUS,0+0+0+1,1,44:47.5,40,140,,+2:04.0,0,54.0,2:03.3,+28.2,43.0,3:33.9,+29.3,32.0,40:13.6,+2:32.7,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,Women 15km Individual,2021-11-27,2122,Female
6,,BTCAN20209199101,LUNDER Emma,CAN,0+0+1+0,1,44:48.7,38,138,,+2:05.2,0,5.0,1:36.8,+1.7,1.0,3:04.6,0.0,46.0,40:44.1,+3:03.2,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,Women 15km Individual,2021-11-27,2122,Female
7,,BTNOR20607199701,KALKENBERG Emilie Aagheim,NOR,0+0+0+1,1,45:08.5,36,136,,+2:25.0,0,26.0,1:54.8,+19.7,8.0,3:19.3,+14.7,49.0,40:49.2,+3:08.3,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,Women 15km Individual,2021-11-27,2122,Female
8,,BTRUS22704199601,REZTSOVA Kristina,RUS,0+0+0+1,1,45:11.2,34,134,,+2:27.7,0,82.0,2:15.9,+40.8,75.0,3:46.2,+41.6,35.0,40:25.0,+2:44.1,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,Women 15km Individual,2021-11-27,2122,Female
9,,BTGER22505199601,WEIDEL Anna,GER,0+0+0+0,0,45:12.1,32,132,,+2:28.6,0,48.0,2:01.2,+26.1,53.0,3:37.6,+33.0,68.0,41:34.5,+3:53.6,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,Women 15km Individual,2021-11-27,2122,Female
10,,BTNOR20712199001,ROEISELAND Marte Olsbu,NOR,1+0+2+0,3,45:21.6,31,131,,+2:38.1,0,24.0,1:53.9,+18.8,11.0,3:21.1,+16.5,9.0,39:00.5,+1:19.6,BT2122SWRLCP01SWIN,BT2122SWRLCP01,Oestersund,Women 15km Individual,2021-11-27,2122,Female
