Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,TotalTime,WC,NC,BibColor,Behind,PursuitStartDistance,ResultOrder_shooting,TotalTime_shooting,Behind_shooting,ResultOrder_range,TotalTime_range,Behind_range,ResultOrder_ski,TotalTime_ski,Behind_ski,RaceId,EventId,EventName,RaceName,RaceDate,Season,Genre
1,,BTNOR11605199301,BOE Johannes Thingnes,NOR,1+0,1,24:18.3,60,160,yr,0.0,0,76.0,1:06.3,+19.4,62,1:43.6,+18.2,1,21:59.8,0.0,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
2,,BTNOR12907198801,BOE Tarjei,NOR,0+1,1,24:37.3,54,154,,+19.0,0,100.0,1:21.0,+34.1,98,1:57.4,+32.0,3,22:08.2,+8.4,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
3,,BTRUS13103199301,ELISEEV Matvei,RUS,0+0,0,24:38.2,48,148,,+19.9,0,51.0,1:01.2,+14.3,37,1:39.2,+13.8,18,22:48.6,+48.8,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
4,,BTRUS13101199201,LOGINOV Alexandr,RUS,0+1,1,24:45.4,43,143,,+27.1,0,12.0,51.5,+4.6,9,1:32.1,+6.7,14,22:38.3,+38.5,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
5,,BTFRA11409198801,FOURCADE Martin,FRA,0+2,2,24:46.2,40,140,,+27.9,0,87.0,1:11.2,+24.3,80,1:48.5,+23.1,2,22:01.3,+1.5,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
6,,BTGER11911199101,KUEHN Johannes,GER,0+2,2,24:47.0,38,138,,+28.7,0,999.0,1:05.9,+19.0,64,1:43.9,+18.5,4,22:09.3,+9.5,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
7,,BTNOR12305199701,DALE-SKJEVDAL Johannes,NOR,0+1,1,24:47.7,36,136,,+29.4,0,999.0,1:04.9,+18.0,71,1:45.7,+20.3,11,22:28.2,+28.4,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
8,,BTNOR13007199001,BJOENTEGAARD Erlend,NOR,0+1,1,24:50.0,34,,,+31.7,0,92.0,1:12.8,+25.9,82,1:50.0,+24.6,8,22:26.3,+26.5,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
9,,BTAUT10911198601,EBERHARD Julian,AUT,2+0,2,24:52.1,32,132,,+33.8,0,25.0,56.3,+9.4,18,1:34.8,+9.4,7,22:20.7,+20.9,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
10,,BTBUL11703198701,ILIEV Vladimir,BUL,0+2,2,24:54.3,31,131,,+36.0,0,47.0,1:00.3,+13.4,38,1:39.4,+14.0,6,22:20.2,+20.4,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
11,,BTFRA11107199501,JACQUELIN Emilien,FRA,1+1,2,24:58.9,30,130,,+40.6,0,999.0,58.9,+12.0,25,1:36.5,+11.1,9,22:27.1,+27.3,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
12,,BTFRA11608199201,FILLON MAILLET Quentin,FRA,0+2,2,25:04.0,29,129,,+45.7,0,38.0,58.8,+11.9,30,1:37.5,+12.1,10,22:28.0,+28.2,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
13,,BTITA12908199101,BORMOLINI Thomas,ITA,0+0,0,25:10.3,28,128,,+52.0,0,44.0,59.8,+12.9,31,1:37.6,+12.2,46,23:21.5,+1:21.7,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
14,,BTFRA10312199101,DESTHIEUX Simon,FRA,0+2,2,25:16.0,27,,,+57.7,0,88.0,1:11.8,+24.9,87,1:50.6,+25.2,12,22:30.6,+30.8,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
15,,BTITA13009198901,HOFER Lukas,ITA,0+1,1,25:22.9,26,126,,+1:04.6,0,85.0,1:10.4,+23.5,79,1:48.2,+22.8,24,23:02.7,+1:02.9,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
16,,BTCZE12301199101,KRCMAR Michal,CZE,0+0,0,25:24.7,25,125,,+1:06.4,0,107.0,1:26.5,+39.6,107,2:07.1,+41.7,29,23:07.2,+1:07.4,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
17,,BTSUI12206199001,DOLDER Mario,SUI,0+1,1,25:26.5,24,124,,+1:08.2,0,999.0,58.9,+12.0,24,1:36.3,+10.9,39,23:16.3,+1:16.5,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
18,,BTLAT12705198801,RASTORGUJEVS Andrejs,LAT,2+1,3,25:35.3,23,123,,+1:17.0,0,56.0,1:02.6,+15.7,50,1:41.6,+16.2,13,22:33.9,+34.1,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
19,,BTFRA11111199101,CLAUDE Florent,BEL,0+1,1,25:35.4,22,122,,+1:17.1,0,999.0,1:21.9,+35.0,103,2:00.8,+35.4,22,23:01.3,+1:01.5,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
20,,BTFRA12212199401,CLAUDE Fabien,FRA,2+1,3,25:39.0,21,,,+1:20.7,0,999.0,1:00.2,+13.3,26,1:36.7,+11.3,16,22:46.8,+47.0,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
21,,BTFRA10207199101,GUIGONNAT Antonin,FRA,0+2,2,25:45.6,20,,,+1:27.3,0,55.0,1:02.5,+15.6,50,1:41.6,+16.2,25,23:03.2,+1:03.4,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,Men 10km Sprint,2019-12-01,1920,Male
