Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,TotalTime,WC,NC,BibColor,Behind,PursuitStartDistance,ResultOrder_shooting,TotalTime_shooting,Behind_shooting,ResultOrder_range,TotalTime_range,Behind_range,ResultOrder_ski,TotalTime_ski,Behind_ski,RaceId,EventId,EventName,RaceName,RaceDate,Season,Genre
1,,BTFRA11409198801,FOURCADE Martin,FRA,0+0+0+0,0,47:09.2,60,160,yr,0.0,0,999.0,2:20.0,+51.0,89,3:22.9,+48.5,13,43:23.4,+1:23.7,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
2,,BTGER11911199101,KUEHN Johannes,GER,0+0+0+0,0,47:13.4,54,154,,+4.2,0,89.0,2:13.0,+44.0,90,3:24.9,+50.5,16,43:26.7,+1:27.0,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
3,,BTAUT12302198301,EDER Simon,AUT,0+0+0+0,0,47:28.9,48,148,,+19.7,0,999.0,1:56.0,+27.0,24,3:01.2,+26.8,29,44:05.2,+2:05.5,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
4,,BTCRO10108198701,FAK Jakov,SLO,0+0+1+0,1,47:43.6,43,143,,+34.4,0,32.0,1:54.0,+25.0,28,3:02.1,+27.7,10,43:20.2,+1:20.5,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
5,,BTGER11411198801,SCHEMPP Simon,GER,0+0+0+1,1,47:47.8,40,140,,+38.6,0,999.0,1:53.0,+24.0,26,3:01.6,+27.2,12,43:22.9,+1:23.2,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
6,,BTUKR12807198801,SEMENOV Sergii,UKR,0+0+0+0,0,47:54.2,38,138,,+45.0,0,999.0,2:00.0,+31.0,59,3:11.8,+37.4,37,44:20.7,+2:21.0,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
7,,BTNOR11605199301,BOE Johannes Thingnes,NOR,0+1+2+0,3,48:21.1,36,136,r,+1:11.9,0,999.0,1:53.0,+24.0,15,2:57.5,+23.1,1,41:59.7,0.0,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
8,,BTFRA10207199101,GUIGONNAT Antonin,FRA,1+0+0+0,1,48:22.7,34,134,,+1:13.5,0,999.0,1:52.0,+23.0,23,3:01.1,+26.7,24,43:57.9,+1:58.2,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
9,,BTSWE12803199701,SAMUELSSON Sebastian,SWE,1+1+0+0,2,48:27.7,32,132,,+1:18.5,0,999.0,2:02.0,+33.0,45,3:06.9,+32.5,4,42:57.6,+57.9,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
10,,BTNOR11102198801,BIRKELAND Lars Helge,NOR,0+0+0+1,1,48:31.2,31,131,,+1:22.0,0,999.0,1:46.0,+17.0,8,2:51.3,+16.9,35,44:16.1,+2:16.4,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
11,,BTNOR11205199201,CHRISTIANSEN Vetle Sjaastad,NOR,0+0+0+0,0,48:35.4,30,130,b,+1:26.2,0,12.0,1:48.0,+19.0,10,2:53.7,+19.3,72,45:15.6,+3:15.9,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
12,,BTRUS11903198701,MALYSHKO Dmitry,RUS,0+1+0+0,1,48:39.5,29,129,,+1:30.3,0,999.0,1:49.0,+20.0,11,2:55.4,+21.0,38,44:21.5,+2:21.8,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
13,,BTSWE10310199201,NELIN Jesper,SWE,0+0+1+1,2,48:50.0,28,128,,+1:40.8,0,999.0,1:59.0,+30.0,48,3:08.3,+33.9,9,43:18.5,+1:18.8,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
14,,BTCAN10611199001,GOW Scott,CAN,0+0+1+0,1,48:52.5,27,127,,+1:43.3,0,3.0,1:38.0,+9.0,3,2:46.8,+12.4,48,44:42.7,+2:43.0,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
15,,BTCZE12301199101,KRCMAR Michal,CZE,0+0+0+1,1,49:06.1,26,126,,+1:56.9,0,108.0,2:42.0,+1:13.0,107,3:52.1,+1:17.7,21,43:53.3,+1:53.6,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
16,,BTCAN12803199301,GOW Christian,CAN,0+0+1+0,1,49:08.4,25,125,,+1:59.2,0,999.0,1:46.0,+17.0,6,2:50.3,+15.9,60,44:55.3,+2:55.6,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
17,,BTAUT13112199601,LEITNER Felix,AUT,0+1+0+0,1,49:15.3,24,124,,+2:06.1,0,999.0,2:07.0,+38.0,82,3:18.9,+44.5,44,44:32.8,+2:33.1,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
18,,BTSWE10809199501,PONSILUOMA Martin,SWE,0+0+1+0,1,49:18.8,23,123,,+2:09.6,0,999.0,1:49.0,+20.0,21,3:00.7,+26.3,59,44:55.1,+2:55.4,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
19,,BTBUL10109199301,SINAPOV Anton,BUL,0+0+0+1,1,49:19.6,22,122,,+2:10.4,0,999.0,1:59.0,+30.0,51,3:09.8,+35.4,50,44:47.2,+2:47.5,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
20,,BTRUS13103199301,ELISEEV Matvei,RUS,1+1+0+0,2,49:32.7,21,121,,+2:23.5,0,999.0,1:51.0,+22.0,34,3:03.7,+29.3,31,44:06.0,+2:06.3,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
21,,BTUKR13004198701,PRYMA Artem,UKR,1+0+1+0,2,49:32.8,20,120,,+2:23.6,0,999.0,1:53.0,+24.0,36,3:04.2,+29.8,32,44:07.2,+2:07.5,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
22,,BTFRA10312199101,DESTHIEUX Simon,FRA,0+2+0+1,3,49:38.2,19,119,,+2:29.0,0,5.0,1:42.0,+13.0,5,2:48.3,+13.9,15,43:26.3,+1:26.6,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
23,,BTGER11705198801,LESSER Erik,GER,0+1+0+1,2,49:39.1,18,118,,+2:29.9,0,999.0,1:45.0,+16.0,7,2:51.2,+16.8,41,44:23.2,+2:23.5,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
24,,BTJPN11705198801,TACHIZAKI Mikito,JPN,1+0+0+0,1,49:45.5,17,117,,+2:36.3,0,999.0,1:58.0,+29.0,54,3:10.6,+36.2,67,45:10.8,+3:11.1,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
25,,BTLTU10806199101,DOMBROVSKI Karol,LTU,0+0+0+0,0,49:53.6,16,116,,+2:44.4,0,999.0,2:11.0,+42.0,90,3:24.9,+50.5,86,46:06.5,+4:06.8,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
26,,BTSUI12206199001,DOLDER Mario,SUI,1+1+0+0,2,49:54.9,15,115,,+2:45.7,0,999.0,2:00.0,+31.0,52,3:10.0,+35.6,39,44:22.1,+2:22.4,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
27,,BTITA13009198901,HOFER Lukas,ITA,0+1+2+1,4,49:59.1,14,114,,+2:49.9,0,999.0,2:06.0,+37.0,57,3:11.5,+37.1,2,42:25.1,+25.4,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
28,,BTFRA11107199501,JACQUELIN Emilien,FRA,0+1+1+0,2,50:01.5,13,,,+2:52.3,0,999.0,2:06.0,+37.0,75,3:15.0,+40.6,39,44:22.1,+2:22.4,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
29,,BTRUS13101199201,LOGINOV Alexandr,RUS,0+0+1+2,3,50:04.3,12,112,,+2:55.1,0,73.0,2:05.0,+36.0,74,3:14.9,+40.5,14,43:26.0,+1:26.3,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,Men 20km Individual,2018-12-06,1819,Male
