Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,TotalTime,WC,NC,BibColor,Behind,PursuitStartDistance,ResultOrder_shooting,TotalTime_shooting,Behind_shooting,ResultOrder_range,TotalTime_range,Behind_range,ResultOrder_ski,TotalTime_ski,Behind_ski,RaceId,EventId,EventName,RaceName,RaceDate,Season,Genre
1,,BTSWE10809199501,PONSILUOMA Martin,SWE,0+1+0+0,1,49:36.5,90,160,,0.0,0,12.0,1:49.4,+16.0,6.0,3:25.9,+5.6,2.0,44:38.4,+49.8,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
2,,BTSUI10103200001,HARTWEG Niklas,SUI,0+0+0+0,0,50:13.7,75,154,,+37.2,0,6.0,1:42.6,+9.2,5.0,3:25.4,+5.1,21.0,46:12.7,+2:24.1,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
3,,BTGER11106199601,ZOBEL David,GER,0+0+0+0,0,50:35.8,60,148,,+59.3,0,65.0,2:09.9,+36.5,34.0,3:45.4,+25.1,23.0,46:18.1,+2:29.5,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
4,,BTGER10103199301,REES Roman,GER,0+0+1+0,1,50:37.4,50,143,,+1:00.9,0,28.0,1:57.0,+23.6,22.0,3:37.6,+17.3,10.0,45:26.3,+1:37.7,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
5,,BTSWE12803199701,SAMUELSSON Sebastian,SWE,0+1+0+0,1,50:39.3,45,140,,+1:02.8,0,34.0,2:00.0,+26.6,30.0,3:43.4,+23.1,9.0,45:22.8,+1:34.2,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
6,,BTNOR12002199701,LAEGREID Sturla Holm,NOR,0+0+0+2,2,50:59.9,40,138,,+1:23.4,0,22.0,1:54.2,+20.8,18.0,3:34.6,+14.3,3.0,44:50.1,+1:01.5,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
7,,BTNOR11205199201,CHRISTIANSEN Vetle Sjaastad,NOR,0+1+0+0,1,51:09.4,36,136,,+1:32.9,0,38.0,2:00.7,+27.3,33.0,3:44.5,+24.2,15.0,45:50.4,+2:01.8,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
8,,BTLTU12811199201,STROLIA Vytautas,LTU,0+0+0+1,1,51:13.6,34,134,,+1:37.1,0,56.0,2:06.4,+33.0,41.0,3:47.5,+27.2,16.0,45:50.8,+2:02.2,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
9,,BTFRA12212199401,CLAUDE Fabien,FRA,0+2+0+0,2,51:44.0,32,132,,+2:07.5,0,75.0,2:13.3,+39.9,52.0,3:50.4,+30.1,8.0,45:22.0,+1:33.4,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
10,,BTNOR13007199001,BJOENTEGAARD Erlend,NOR,0+0+0+1,1,51:48.0,31,131,,+2:11.5,0,69.0,2:11.7,+38.3,65.0,3:55.5,+35.2,22.0,46:17.1,+2:28.5,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
11,,BTFIN10202199101,HIIDENSALO Olli,FIN,0+1+0+0,1,52:00.6,30,130,,+2:24.1,0,58.0,2:07.3,+33.9,51.0,3:50.3,+30.0,29.0,46:35.2,+2:46.6,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
12,,BTNOR11605199301,BOE Johannes Thingnes,NOR,2+1+0+1,4,52:01.7,29,,,+2:25.2,0,41.0,2:01.0,+27.6,26.0,3:38.4,+18.1,1.0,43:48.6,0.0,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
13,,BTCZE12301199101,KRCMAR Michal,CZE,0+0+0+1,1,52:07.8,28,128,,+2:31.3,0,95.0,2:30.4,+57.0,90.0,4:15.8,+55.5,24.0,46:19.1,+2:30.5,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
14,,BTSWE10310199201,NELIN Jesper,SWE,0+1+0+1,2,52:19.0,27,127,,+2:42.5,0,47.0,2:04.2,+30.8,69.0,3:56.2,+35.9,13.0,45:46.8,+1:58.2,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,Men 20km Individual,2022-11-29,2223,Male
