Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,TotalTime,WC,NC,BibColor,Behind,PursuitStartDistance,ResultOrder_shooting,TotalTime_shooting,Behind_shooting,ResultOrder_range,TotalTime_range,Behind_range,ResultOrder_ski,TotalTime_ski,Behind_ski,RaceId,EventId,EventName,RaceName,RaceDate,Season,Genre
1,,BTITA20402199501,VITTOZZI Lisa,ITA,0+0+1+0,1,44:03.9,90,160,r,0.0,0,21.0,1:55.4,+19.8,17.0,3:21.6,+17.7,5.0,39:42.3,+48.2,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
2,,BTGER21103199401,PREUSS Franziska,GER,0+0+0+0,0,44:04.0,75,154,,+0.1,0,17.0,1:53.0,+17.4,12.0,3:20.7,+16.8,14.0,40:43.3,+1:49.2,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
3,,BTGER20710199701,VOIGT Vanessa,GER,0+0+0+0,0,44:14.0,60,148,,+10.1,0,65.0,2:10.6,+35.0,57.0,3:39.3,+35.4,10.0,40:34.7,+1:40.6,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
4,,BTNOR20601199501,KNOTTEN Karoline Offigstad,NOR,0+0+1+0,1,44:50.4,50,143,,+46.5,0,8.0,1:47.8,+12.2,5.0,3:15.0,+11.1,11.0,40:35.4,+1:41.3,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
5,,BTGER21209199701,SCHNEIDER Sophia,GER,0+0+0+1,1,45:04.9,45,140,,+1:01.0,0,71.0,2:12.9,+37.3,50.0,3:35.2,+31.3,9.0,40:29.7,+1:35.6,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
6,,BTAUT21612199301,HAUSER Lisa Theresa,AUT,0+0+0+0,0,45:11.6,40,138,,+1:07.7,0,14.0,1:51.1,+15.5,14.0,3:20.8,+16.9,35.0,41:50.8,+2:56.7,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
7,,BTNOR22309199601,TANDREVOLD Ingrid Landmark,NOR,0+2+0+0,2,45:13.6,36,136,,+1:09.7,0,67.0,2:11.8,+36.2,63.0,3:42.3,+38.4,4.0,39:31.3,+37.2,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
8,,BTNOR20501199901,JOHANSEN Marthe Krakstad,NOR,0+0+1+0,1,45:33.5,34,134,,+1:29.6,0,5.0,1:45.5,+9.9,4.0,3:11.8,+7.9,25.0,41:21.7,+2:27.6,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
9,,BTPOL22205199201,MAKA Anna,POL,0+0+0+1,1,45:55.9,32,132,,+1:52.0,0,56.0,2:04.6,+29.0,35.0,3:29.9,+26.0,27.0,41:26.0,+2:31.9,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
10,,BTNOR20707199801,SKOGAN Marit Ishol,NOR,0+1+0+0,1,46:01.6,31,,,+1:57.7,0,42.0,2:01.7,+26.1,33.0,3:29.0,+25.1,29.0,41:32.6,+2:38.5,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
11,,BTPOL20203199901,JAKIELA Joanna,POL,0+1+0+0,1,46:04.3,30,130,,+2:00.4,0,44.0,2:02.4,+26.8,41.0,3:33.0,+29.1,28.0,41:31.3,+2:37.2,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
12,,BTSUI22909200001,BASERGA Amy,SUI,0+1+0+0,1,46:10.7,29,129,,+2:06.8,0,9.0,1:48.1,+12.5,11.0,3:20.5,+16.6,34.0,41:50.2,+2:56.1,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
13,,BTAUT22505199701,STEINER Tamara,AUT,0+0+0+0,0,46:17.1,28,128,,+2:13.2,0,38.0,2:01.1,+25.5,48.0,3:34.6,+30.7,54.0,42:42.5,+3:48.4,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
14,,BTSUI20107199501,HAECKI-GROSS Lena,SUI,1+0+1+0,2,46:18.9,27,127,,+2:15.0,0,23.0,1:55.7,+20.1,22.0,3:24.8,+20.9,16.0,40:54.1,+2:00.0,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
15,,BTSWE22706199401,GESTBLOM Linn,SWE,1+0+0+1,2,46:30.1,26,126,,+2:26.2,0,47.0,2:02.9,+27.3,37.0,3:30.6,+26.7,18.0,40:59.5,+2:05.4,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
16,,BTSWE20211199501,OEBERG Hanna,SWE,0+1+1+1,3,46:35.9,25,125,,+2:32.0,0,13.0,1:50.0,+14.4,6.0,3:16.4,+12.5,7.0,40:19.5,+1:25.4,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
17,,BTITA20304199001,WIERER Dorothea,ITA,0+0+0+2,2,46:36.7,24,124,,+2:32.8,0,3.0,1:44.6,+9.0,3.0,3:11.7,+7.8,26.0,41:25.0,+2:30.9,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
18,,BTEST21308199601,KUELM Susan,EST,0+0+0+1,1,46:43.2,23,123,,+2:39.3,0,20.0,1:55.3,+19.7,38.0,3:30.8,+26.9,40.0,42:12.4,+3:18.3,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
19,,BTSUI20212199101,GASPARIN Elisa,SUI,0+1+0+0,1,46:45.0,22,122,,+2:41.1,0,29.0,1:59.3,+23.7,21.0,3:24.6,+20.7,45.0,42:20.4,+3:26.3,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
20,,BTITA23108200101,PASSLER Rebecca,ITA,0+0+1+0,1,46:45.2,21,121,,+2:41.3,0,1.0,1:35.6,0.0,1.0,3:03.9,0.0,53.0,42:41.3,+3:47.2,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
21,,BTFRA20407199601,BRAISAZ-BOUCHET Justine,FRA,0+2+0+2,4,46:58.3,20,120,,+2:54.4,0,86.0,2:22.1,+46.5,82.0,3:52.4,+48.5,2.0,39:05.9,+11.8,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
22,,BTUKR20407199201,PETRENKO Iryna,UKR,0+1+0+1,2,47:04.5,19,119,,+3:00.6,0,47.0,2:02.9,+27.3,34.0,3:29.2,+25.3,30.0,41:35.3,+2:41.2,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
23,,BTGER21606199601,HETTICH-WALZ Janina,GER,0+2+0+1,3,47:06.8,18,,,+3:02.9,0,25.0,1:57.5,+21.9,23.0,3:24.9,+21.0,13.0,40:41.9,+1:47.8,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
24,,BTFRA22810199801,JEANMONNOT Lou,FRA,0+1+1+1,3,47:08.4,17,117,,+3:04.5,0,45.0,2:02.7,+27.1,28.0,3:26.6,+22.7,12.0,40:41.8,+1:47.7,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
25,,BTNOR20609199501,LIE Lotte,BEL,0+1+0+0,1,47:12.0,16,116,,+3:08.1,0,52.0,2:04.2,+28.6,54.0,3:38.0,+34.1,51.0,42:34.0,+3:39.9,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
26,,BTMDA21107199501,STREMOUS Alina,MDA,0+2+0+0,2,47:22.4,15,115,,+3:18.5,0,92.0,2:35.5,+59.9,90.0,4:09.0,+1:05.1,23.0,41:13.4,+2:19.3,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
27,,BTITA23004199801,COMOLA Samuela,ITA,1+0+0+0,1,47:24.0,14,,,+3:20.1,0,69.0,2:12.4,+36.8,71.0,3:45.7,+41.8,52.0,42:38.3,+3:44.2,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
28,,BTNOR21702199901,ARNEKLEIV Juni,NOR,1+1+0+1,3,47:26.5,13,,,+3:22.6,0,34.0,2:00.0,+24.4,24.0,3:25.2,+21.3,19.0,41:01.3,+2:07.2,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
29,,BTFRA21206199901,CHAUVEAU Sophie,FRA,0+1+0+2,3,47:39.7,12,112,,+3:35.8,0,77.0,2:16.1,+40.5,73.0,3:46.4,+42.5,15.0,40:53.3,+1:59.2,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
30,,BTCZE23105200001,VOBORNIKOVA Tereza,CZE,0+1+0+1,2,47:40.0,11,111,,+3:36.1,0,35.0,2:00.2,+24.6,53.0,3:37.6,+33.7,38.0,42:02.4,+3:08.3,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,Women 15km Individual,2023-11-26,2324,Female
